,highest_market_value_in_eur,Born,Age,npxG+xAG,G+A,PrgC,xAG,Ast,PrgP,90s,Min,Starts,PrgR,Rk,G+A-PK,market_value_in_eur
0,0.16643512086690748,0.7600000000000051,0.20833333333333337,0.35111111111111115,0.15384615384615385,0.2621951219512195,0.2876712328767123,0.2727272727272727,0.28668941979522183,0.7398843930635839,0.7410025706940873,0.7999999999999999,0.3037190082644628,0.0,0.09248554913294799,30000000
1,0.00972492358988608,0.7200000000000131,0.25,0.15555555555555556,0.038461538461538464,0.31097560975609756,0.15753424657534246,0.09090909090909091,0.4300341296928328,0.5722543352601156,0.5726221079691516,0.5714285714285714,0.1962809917355372,0.0014194464158978,0.028901734104046246,1200000
2,0.071964434565157,0.7600000000000051,0.25,0.11111111111111112,0.07692307692307693,0.17682926829268295,0.10273972602739725,0.09090909090909091,0.4982935153583618,0.8439306358381502,0.8428663239074549,0.8571428571428571,0.08057851239669422,0.0017743080198722497,0.04046242774566475,13000000
3,0.01639344262295082,0.480000000000004,0.5416666666666667,0.07111111111111111,0.038461538461538464,0.06097560975609756,0.0821917808219178,0.09090909090909091,0.36860068259385664,0.638728323699422,0.6388174807197943,0.6857142857142857,0.022727272727272728,0.0021291696238466998,0.028901734104046246,3000000
4,0.04140038899694359,0.6000000000000085,0.375,0.022222222222222223,0.0,0.006097560975609756,0.0273972602739726,0.0,0.03754266211604096,0.15028901734104047,0.14974293059125965,0.14285714285714285,0.014462809917355372,0.00248403122782115,0.0,5000000
5,0.02195054181717144,0.8800000000000097,0.125,0.09777777777777778,0.11538461538461539,0.07317073170731708,0.04794520547945205,0.09090909090909091,0.027303754266211604,0.23988439306358383,0.24068123393316196,0.22857142857142856,0.08677685950413223,0.0028388928317956,0.13872832369942198,4000000
6,0.02195054181717144,0.8800000000000097,0.125,0.044444444444444446,0.038461538461538464,0.024390243902439025,0.02054794520547945,0.0,0.006825938566552901,0.03468208092485549,0.03406169665809768,0.0,0.022727272727272728,0.00319375443577005,0.4855491329479769,4000000
7,0.03862183939983329,0.7600000000000051,0.25,0.5866666666666667,0.5,0.5670731707317074,0.21232876712328766,0.4545454545454546,0.21843003412969283,0.7456647398843931,0.7467866323907454,0.7714285714285714,0.5289256198347108,0.0039034776437189495,0.28901734104046245,7000000
8,0.2775771047513198,0.6400000000000006,0.33333333333333326,0.6044444444444445,0.42307692307692313,0.21341463414634146,0.22602739726027396,0.2727272727272727,0.17406143344709898,0.6734104046242775,0.6744858611825192,0.6857142857142857,0.2706611570247934,0.0042583392476933995,0.2716763005780347,45000000
9,0.0005557099194220616,0.8400000000000034,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.005780346820809249,0.004498714652956298,0.0,0.0,0.0046132008516678496,0.0,150000
10,0.0019449847179772162,0.8400000000000034,0.16666666666666674,0.008888888888888889,0.0,0.012195121951219513,0.0,0.0,0.010238907849829351,0.011560693641618498,0.011246786632390746,0.0,0.002066115702479339,0.0056777856635912,0.0,400000
12,0.11086412892470132,0.7200000000000131,0.29166666666666674,0.06666666666666667,0.0,0.11585365853658537,0.0958904109589041,0.0,0.4641638225255973,0.6936416184971098,0.6924807197943443,0.6857142857142857,0.04132231404958678,0.00674237047551455,0.0,20000000
13,0.027507641011392057,0.480000000000004,0.5,0.1822222222222222,0.11538461538461539,0.07317073170731708,0.0547945205479452,0.18181818181818182,0.08191126279863481,0.20809248554913296,0.20661953727506427,0.11428571428571428,0.11983471074380166,0.007097232079489,0.24277456647398846,2000000
14,0.004167824395665463,0.8800000000000097,0.08333333333333337,0.0044444444444444444,0.0,0.006097560975609756,0.0,0.0,0.010238907849829351,0.03468208092485549,0.03406169665809768,0.0,0.002066115702479339,0.007806955287437899,0.0,800000
15,0.19422061683801056,0.8400000000000034,0.16666666666666674,0.3377777777777778,0.42307692307692313,0.25609756097560976,0.2465753424657534,0.4545454545454546,0.15358361774744028,0.3815028901734104,0.38078406169665807,0.4857142857142857,0.243801652892562,0.008161816891412349,0.47976878612716767,35000000
16,0.08307863295359823,0.7600000000000051,0.25,0.26666666666666666,0.2692307692307693,0.25609756097560976,0.1095890410958904,0.2727272727272727,0.16723549488054607,0.4104046242774566,0.40970437017994854,0.37142857142857144,0.25,0.008516678495386799,0.2832369942196532,15000000
17,0.04973603778827452,0.7600000000000051,0.20833333333333337,0.008888888888888889,0.0,0.03048780487804878,0.00684931506849315,0.0,0.030716723549488054,0.040462427745664734,0.03952442159383033,0.02857142857142857,0.014462809917355372,0.008871540099361249,0.0,9000000
18,0.030286190608502364,0.6400000000000006,0.375,0.08,0.038461538461538464,0.07317073170731708,0.0410958904109589,0.0,0.12286689419795221,0.43641618497109824,0.4370179948586118,0.45714285714285713,0.1590909090909091,0.009226401703335699,0.04046242774566475,3500000
