,Rk,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,market_value_in_eur,highest_market_value_in_eur,Pos_FW,Pos_FWMF,Pos_MF,Pos_MFFW
336,0.27524143985952587,0.20833333333333337,0.29411764705882354,0.2857142857142857,0.2615681233933162,0.2630057803468208,0.15789473684210525,0.18181818181818182,0.19230769230769232,0.1764705882352941,0.0,0.0,0.08333333333333333,0.0,0.07216494845360825,0.08641975308641975,0.0410958904109589,0.08888888888888889,0.06707317073170732,0.11262798634812286,0.03925619834710744,0.23913043478260873,0.1271676300578035,0.31791907514450873,0.23913043478260873,0.31791907514450873,0.1142857142857143,0.04294478527607362,0.13496932515337423,0.1142857142857143,0.13496932515337423,25000000.0,0.1386496248958044,0.0,0.0,1.0,0.0
337,0.27524143985952587,0.20833333333333337,0.29411764705882354,0.2857142857142857,0.2615681233933162,0.2630057803468208,0.15789473684210525,0.18181818181818182,0.19230769230769232,0.1764705882352941,0.0,0.0,0.08333333333333333,0.0,0.07216494845360825,0.08641975308641975,0.0410958904109589,0.08888888888888889,0.06707317073170732,0.11262798634812286,0.03925619834710744,0.23913043478260873,0.1271676300578035,0.31791907514450873,0.23913043478260873,0.31791907514450873,0.1142857142857143,0.04294478527607362,0.13496932515337423,0.1142857142857143,0.13496932515337423,12000000.0,0.1386496248958044,0.0,0.0,1.0,0.0
338,0.27524143985952587,0.20833333333333337,0.29411764705882354,0.2857142857142857,0.2615681233933162,0.2630057803468208,0.15789473684210525,0.18181818181818182,0.19230769230769232,0.1764705882352941,0.0,0.0,0.08333333333333333,0.0,0.07216494845360825,0.08641975308641975,0.0410958904109589,0.08888888888888889,0.06707317073170732,0.11262798634812286,0.03925619834710744,0.23913043478260873,0.1271676300578035,0.31791907514450873,0.23913043478260873,0.31791907514450873,0.1142857142857143,0.04294478527607362,0.13496932515337423,0.1142857142857143,0.13496932515337423,5000000.0,0.027507641011392057,0.0,1.0,0.0,0.0
339,0.2761194029850746,0.375,0.1764705882352941,0.0,0.029884318766066835,0.028901734104046242,0.05263157894736842,0.0,0.038461538461538464,0.058823529411764705,0.0,0.0,0.0,0.0,0.030927835051546393,0.037037037037037035,0.0,0.02666666666666667,0.024390243902439025,0.0,0.026859504132231406,0.6956521739130436,0.0,0.5549132947976879,0.6956521739130436,0.5549132947976879,0.38571428571428573,0.024539877300613498,0.3558282208588957,0.38571428571428573,0.3558282208588957,27000000.0,0.2775771047513198,0.0,0.0,1.0,0.0
340,0.276558384547849,0.375,0.2647058823529412,0.17142857142857143,0.15359897172236503,0.15317919075144507,0.10526315789473684,0.0,0.07692307692307693,0.058823529411764705,0.25,0.2,0.0,0.0,0.1391752577319588,0.11728395061728396,0.0273972602739726,0.10222222222222221,0.07317073170731708,0.006825938566552901,0.07231404958677687,0.27536231884057977,0.0,0.21965317919075147,0.13768115942028988,0.10982658959537574,0.35714285714285715,0.04294478527607362,0.3558282208588957,0.2571428571428571,0.26380368098159507,27000000.0,0.2775771047513198,0.0,1.0,0.0,0.0
341,0.2769973661106233,0.04166666666666674,0.0,0.0,0.00032133676092544985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0002778549597110309,1.0,0.0,0.0,0.0
342,0.2787532923617208,0.5,0.9411764705882353,0.9428571428571428,0.9315552699228791,0.930635838150289,0.2631578947368421,0.18181818181818182,0.2692307692307693,0.29411764705882354,0.0,0.0,0.25,0.0,0.1391752577319588,0.16666666666666669,0.4383561643835616,0.40888888888888886,0.5975609756097561,0.6928327645051194,0.1384297520661157,0.11594202898550726,0.034682080924855495,0.1271676300578035,0.11594202898550726,0.1271676300578035,0.05714285714285715,0.1226993865030675,0.17177914110429449,0.05714285714285715,0.17177914110429449,16000000.0,0.08863573214781885,0.0,0.0,0.0,1.0
344,0.28050921861281825,0.29166666666666674,0.9411764705882353,0.39999999999999997,0.43412596401028275,0.43352601156069365,0.21052631578947367,0.18181818181818182,0.23076923076923078,0.23529411764705882,0.0,0.0,0.08333333333333333,0.0,0.07731958762886598,0.0925925925925926,0.10273972602739725,0.13333333333333333,0.3353658536585366,0.20477815699658702,0.13636363636363635,0.19565217391304351,0.07514450867052024,0.23121387283236997,0.19565217391304351,0.23121387283236997,0.07142857142857144,0.06134969325153375,0.1226993865030675,0.07142857142857144,0.1226993865030675,9000000.0,0.05529313698249514,0.0,1.0,0.0,0.0
345,0.2822651448639157,0.29166666666666674,0.5294117647058824,0.11428571428571428,0.17255784061696658,0.17341040462427745,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.061855670103092786,0.07407407407407407,0.0136986301369863,0.05777777777777778,0.012195121951219513,0.10238907849829351,0.026859504132231406,0.0,0.0,0.0,0.0,0.0,0.13571428571428573,0.018404907975460124,0.13496932515337423,0.13571428571428573,0.13496932515337423,12000000.0,0.09974993053626008,0.0,0.0,1.0,0.0
346,0.2844600526777875,0.20833333333333337,0.8235294117647058,0.2571428571428571,0.33676092544987146,0.338150289017341,0.0,0.09090909090909091,0.038461538461538464,0.0,0.0,0.0,0.16666666666666666,0.0,0.08762886597938145,0.10493827160493828,0.13013698630136986,0.16,0.2621951219512195,0.18771331058020477,0.121900826446281,0.0,0.05202312138728324,0.05202312138728324,0.0,0.05202312138728324,0.10714285714285714,0.09815950920245399,0.1901840490797546,0.10714285714285714,0.1901840490797546,27000000.0,0.16643512086690748,0.0,0.0,0.0,1.0
347,0.2848990342405619,0.29166666666666674,0.029411764705882353,0.0,0.013817480719794344,0.014450867052023121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,0.01639344262295082,0.0,1.0,0.0,0.0
