,Rk,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,market_value_in_eur,highest_market_value_in_eur,Pos_FW,Pos_FWMF,Pos_MF,Pos_MFFW
770,1536.0,1993.0,25.0,12.0,1278.0,14.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.8,1.8,0.6,2.4,19.0,26.0,48.0,0.07,0.0,0.07,0.07,0.07,0.12,0.04,0.17,0.12,0.17,2800000.0,4000000.0,0.0,0.0,0.0,1.0
771,1537.0,1995.0,32.0,20.0,1604.0,17.8,3.0,3.0,6.0,2.0,1.0,1.0,3.0,0.0,5.4,4.6,3.3,7.9,86.0,49.0,190.0,0.17,0.17,0.34,0.11,0.28,0.3,0.19,0.49,0.26,0.45,28000000.0,45000000.0,0.0,0.0,0.0,1.0
772,1538.0,1999.0,4.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,1500000.0,0.0,0.0,0.0,1.0
773,1539.0,1998.0,6.0,3.0,291.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,5.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.19,0.05,0.23,0.19,0.23,7000000.0,8000000.0,1.0,0.0,0.0,0.0
774,1542.0,1987.0,29.0,11.0,1211.0,13.5,7.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,6.5,6.5,1.6,8.2,40.0,15.0,92.0,0.52,0.0,0.52,0.52,0.52,0.49,0.12,0.61,0.49,0.61,4000000.0,10000000.0,1.0,0.0,0.0,0.0
775,1544.0,1998.0,34.0,30.0,2661.0,29.6,4.0,5.0,9.0,4.0,0.0,0.0,6.0,1.0,2.5,2.5,3.8,6.3,43.0,131.0,31.0,0.14,0.17,0.3,0.14,0.3,0.08,0.13,0.21,0.08,0.21,35000000.0,38000000.0,0.0,1.0,0.0,0.0
776,1545.0,1993.0,21.0,15.0,1311.0,14.6,6.0,5.0,11.0,4.0,2.0,2.0,1.0,0.0,6.8,5.3,3.8,9.1,24.0,34.0,134.0,0.41,0.34,0.76,0.27,0.62,0.47,0.26,0.73,0.36,0.62,40000000.0,100000000.0,0.0,1.0,0.0,0.0
779,1555.0,1990.0,25.0,10.0,997.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.9,1.4,16.0,40.0,31.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.04,0.12,1000000.0,1500000.0,0.0,0.0,0.0,1.0
780,1556.0,1995.0,5.0,1.0,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,5.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.09,0.09,0.09,1500000.0,3000000.0,0.0,0.0,1.0,0.0
781,1559.0,1993.0,7.0,4.0,387.0,4.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,1.9,2.8,18.0,6.0,31.0,0.0,0.23,0.23,0.0,0.23,0.21,0.45,0.66,0.21,0.66,4000000.0,10000000.0,0.0,1.0,0.0,0.0
782,1561.0,2002.0,8.0,4.0,381.0,4.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,1.1,23.0,21.0,59.0,0.24,0.0,0.24,0.24,0.24,0.19,0.06,0.25,0.19,0.25,28000000.0,28000000.0,0.0,0.0,1.0,0.0
783,1564.0,2003.0,2.0,0.0,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,0.0,1.0,0.0
784,1565.0,1998.0,15.0,11.0,865.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.5,0.9,7.0,49.0,13.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1,7500000.0,8500000.0,0.0,0.0,1.0,0.0
785,1567.0,1998.0,30.0,17.0,1556.0,17.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.6,1.5,29.0,69.0,24.0,0.0,0.12,0.12,0.0,0.12,0.05,0.04,0.08,0.05,0.08,1800000.0,2000000.0,0.0,1.0,0.0,0.0
786,1568.0,1997.0,34.0,23.0,2219.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,2.3,3.2,13.0,115.0,56.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.13,0.04,0.13,2000000.0,2000000.0,0.0,0.0,1.0,0.0
788,1572.0,1999.0,27.0,22.0,1819.0,20.2,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,1.4,1.4,1.7,3.1,29.0,63.0,72.0,0.2,0.05,0.25,0.2,0.25,0.07,0.08,0.16,0.07,0.16,5500000.0,24000000.0,0.0,0.0,1.0,0.0
789,1574.0,1999.0,31.0,25.0,2098.0,23.3,3.0,7.0,10.0,3.0,0.0,0.0,1.0,0.0,4.6,4.6,5.8,10.4,83.0,57.0,165.0,0.13,0.3,0.43,0.13,0.43,0.2,0.25,0.45,0.2,0.45,4500000.0,9000000.0,0.0,0.0,0.0,1.0
790,1575.0,2005.0,1.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,800000.0,0.0,0.0,0.0,1.0
792,1578.0,1998.0,28.0,14.0,1312.0,14.6,1.0,3.0,4.0,0.0,1.0,1.0,3.0,0.0,2.4,1.7,3.1,4.8,52.0,108.0,92.0,0.07,0.21,0.27,0.0,0.21,0.17,0.21,0.38,0.11,0.33,20000000.0,22000000.0,1.0,0.0,0.0,0.0
793,1579.0,1998.0,16.0,11.0,805.0,8.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,0.8,18.0,36.0,31.0,0.0,0.11,0.11,0.0,0.11,0.04,0.05,0.09,0.04,0.09,10000000.0,10000000.0,1.0,0.0,0.0,0.0
794,1580.0,1998.0,12.0,10.0,868.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.5,0.6,20.0,37.0,29.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,10000000.0,10000000.0,1.0,0.0,0.0,0.0
795,1581.0,2002.0,8.0,1.0,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.0,0.8,9.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.37,0.01,0.38,0.37,0.38,800000.0,1000000.0,0.0,0.0,1.0,0.0
796,1582.0,1995.0,24.0,21.0,1606.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,0.5,1.6,10.0,29.0,26.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,8000000.0,25000000.0,0.0,1.0,0.0,0.0
797,1585.0,2001.0,18.0,4.0,627.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,0.5,1.7,13.0,10.0,34.0,0.29,0.0,0.29,0.29,0.29,0.17,0.07,0.24,0.17,0.24,2000000.0,2000000.0,1.0,0.0,0.0,0.0
798,1586.0,1998.0,7.0,4.0,297.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.6,1.2,3.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.17,0.2,0.36,0.17,0.36,4500000.0,5000000.0,0.0,0.0,1.0,0.0
799,1587.0,1998.0,15.0,7.0,622.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.2,0.5,8.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,4500000.0,5000000.0,0.0,0.0,1.0,0.0
800,1588.0,1999.0,23.0,19.0,1487.0,16.5,8.0,4.0,12.0,8.0,0.0,0.0,0.0,0.0,7.3,7.3,3.4,10.7,73.0,48.0,154.0,0.48,0.24,0.73,0.48,0.73,0.44,0.21,0.65,0.44,0.65,16000000.0,30000000.0,0.0,0.0,0.0,1.0
801,1589.0,1993.0,15.0,5.0,553.0,6.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,2.0,2.6,19.0,50.0,36.0,0.16,0.33,0.49,0.16,0.49,0.1,0.33,0.43,0.1,0.43,18000000.0,30000000.0,0.0,0.0,0.0,1.0
802,1590.0,1993.0,16.0,10.0,935.0,10.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.7,1.7,2.2,3.9,29.0,48.0,61.0,0.1,0.0,0.1,0.1,0.1,0.17,0.21,0.38,0.17,0.38,18000000.0,30000000.0,0.0,1.0,0.0,0.0
805,1599.0,1997.0,26.0,20.0,1756.0,19.5,2.0,3.0,5.0,2.0,0.0,0.0,7.0,0.0,1.3,1.3,4.1,5.3,18.0,126.0,58.0,0.1,0.15,0.26,0.1,0.26,0.07,0.21,0.27,0.07,0.27,9000000.0,15000000.0,1.0,0.0,0.0,0.0
806,1600.0,1992.0,23.0,18.0,1414.0,15.7,7.0,4.0,11.0,6.0,1.0,2.0,2.0,0.0,8.9,7.2,3.1,10.3,58.0,43.0,161.0,0.45,0.25,0.7,0.38,0.64,0.57,0.2,0.76,0.46,0.66,45000000.0,150000000.0,0.0,0.0,0.0,1.0
807,1601.0,1998.0,24.0,17.0,1299.0,14.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.1,0.7,13.0,34.0,8.0,0.07,0.0,0.07,0.07,0.07,0.04,0.0,0.05,0.04,0.05,12000000.0,22000000.0,0.0,0.0,1.0,0.0
808,1602.0,1987.0,24.0,13.0,1244.0,13.8,1.0,1.0,2.0,0.0,1.0,2.0,4.0,0.0,2.0,0.4,1.9,2.3,9.0,90.0,15.0,0.07,0.07,0.14,0.0,0.07,0.14,0.14,0.28,0.03,0.16,600000.0,3500000.0,1.0,0.0,0.0,0.0
809,1605.0,1999.0,8.0,2.0,199.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,10.0,7.0,22.0,0.45,0.0,0.45,0.45,0.45,0.09,0.06,0.15,0.09,0.15,1750000.0,9000000.0,1.0,0.0,0.0,0.0
810,1606.0,1999.0,3.0,1.0,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22,1750000.0,9000000.0,0.0,0.0,0.0,1.0
813,1614.0,1997.0,28.0,26.0,2204.0,24.5,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,2.3,2.3,1.6,3.9,62.0,134.0,53.0,0.0,0.08,0.08,0.0,0.08,0.09,0.07,0.16,0.09,0.16,3000000.0,3000000.0,0.0,1.0,0.0,0.0
814,1617.0,1995.0,1.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800000.0,2800000.0,0.0,0.0,1.0,0.0
815,1619.0,2001.0,2.0,0.0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,150000.0,1.0,0.0,0.0,0.0
816,1620.0,1987.0,15.0,2.0,366.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.3,0.4,4.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.09,0.02,0.09,400000.0,800000.0,1.0,0.0,0.0,0.0
817,1623.0,1993.0,8.0,1.0,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.4,0.9,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.32,0.31,0.63,0.32,0.63,300000.0,8000000.0,0.0,0.0,1.0,0.0
820,1629.0,1999.0,30.0,15.0,1426.0,15.8,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,5.8,5.8,1.0,6.8,35.0,49.0,153.0,0.32,0.06,0.38,0.32,0.38,0.37,0.06,0.43,0.37,0.43,6000000.0,6000000.0,0.0,1.0,0.0,0.0
821,1630.0,2003.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000000.0,75000000.0,0.0,1.0,0.0,0.0
822,1633.0,2002.0,27.0,21.0,1839.0,20.4,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.5,1.5,0.8,2.3,13.0,65.0,41.0,0.05,0.05,0.1,0.05,0.1,0.08,0.04,0.11,0.08,0.11,6500000.0,6500000.0,0.0,0.0,1.0,0.0
823,1634.0,1991.0,12.0,8.0,655.0,7.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.7,1.2,8.0,7.0,50.0,0.0,0.14,0.14,0.0,0.14,0.08,0.09,0.17,0.08,0.17,2500000.0,10000000.0,0.0,1.0,0.0,0.0
824,1635.0,1991.0,12.0,8.0,586.0,6.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.5,1.9,7.0,5.0,30.0,0.15,0.0,0.15,0.15,0.15,0.22,0.07,0.29,0.22,0.29,2500000.0,10000000.0,0.0,1.0,0.0,0.0
825,1636.0,1995.0,17.0,8.0,761.0,8.5,4.0,2.0,6.0,3.0,1.0,1.0,0.0,0.0,4.5,3.7,1.3,5.0,12.0,29.0,58.0,0.47,0.24,0.71,0.35,0.59,0.54,0.15,0.69,0.44,0.6,15000000.0,65000000.0,1.0,0.0,0.0,0.0
827,1639.0,1999.0,7.0,3.0,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.5,0.9,3.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.19,0.22,0.42,0.19,0.42,1000000.0,2500000.0,0.0,1.0,0.0,0.0
828,1641.0,1999.0,20.0,14.0,1284.0,14.3,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,4.0,17.0,39.0,75.0,0.21,0.21,0.42,0.21,0.42,0.14,0.14,0.28,0.14,0.28,1000000.0,1000000.0,0.0,0.0,1.0,0.0
829,1642.0,1990.0,10.0,1.0,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,1800000.0,5000000.0,0.0,0.0,0.0,1.0
830,1651.0,1995.0,11.0,3.0,345.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,1.1,15.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.2,0.08,0.28,0.2,0.28,8000000.0,35000000.0,1.0,0.0,0.0,0.0
831,1657.0,2001.0,10.0,9.0,775.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.5,1.1,16.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.13,0.07,0.13,4000000.0,8000000.0,0.0,0.0,0.0,1.0
832,1658.0,2002.0,6.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,100000.0,100000.0,0.0,0.0,0.0,1.0
833,1659.0,1988.0,14.0,1.0,130.0,1.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.5,1.3,0.0,4.0,8.0,0.0,0.69,0.69,0.0,0.69,0.53,0.35,0.87,0.53,0.87,1500000.0,10000000.0,0.0,1.0,0.0,0.0
834,1660.0,2002.0,10.0,2.0,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,15000000.0,20000000.0,0.0,0.0,1.0,0.0
835,1661.0,2002.0,20.0,11.0,994.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,4.0,53.0,9.0,0.09,0.0,0.09,0.09,0.09,0.02,0.01,0.03,0.02,0.03,7000000.0,8000000.0,0.0,0.0,1.0,0.0
836,1662.0,1997.0,27.0,6.0,735.0,8.2,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,3.3,3.3,0.6,3.9,7.0,6.0,39.0,0.24,0.0,0.24,0.24,0.24,0.4,0.08,0.48,0.4,0.48,9000000.0,22000000.0,0.0,1.0,0.0,0.0
837,1663.0,1988.0,32.0,16.0,1763.0,19.6,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,2.3,3.1,43.0,129.0,14.0,0.05,0.1,0.15,0.05,0.15,0.04,0.12,0.16,0.04,0.16,4000000.0,40000000.0,0.0,0.0,1.0,0.0
839,1669.0,1998.0,28.0,27.0,2306.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.9,1.3,15.0,193.0,15.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,6000000.0,7000000.0,0.0,0.0,1.0,0.0
840,1670.0,1996.0,25.0,11.0,1064.0,11.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,4.3,4.3,0.6,4.9,7.0,10.0,58.0,0.08,0.0,0.08,0.08,0.08,0.37,0.05,0.41,0.37,0.41,13000000.0,22000000.0,0.0,0.0,0.0,1.0
841,1671.0,2004.0,9.0,5.0,432.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.9,2.0,20.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,0.23,0.19,0.42,0.23,0.42,500000.0,500000.0,1.0,0.0,0.0,0.0
842,1672.0,1998.0,22.0,12.0,1096.0,12.2,4.0,2.0,6.0,4.0,0.0,0.0,1.0,1.0,3.2,3.2,1.0,4.2,24.0,17.0,79.0,0.33,0.16,0.49,0.33,0.49,0.26,0.08,0.34,0.26,0.34,8000000.0,10000000.0,0.0,1.0,0.0,0.0
843,1676.0,1989.0,18.0,14.0,1092.0,12.1,10.0,2.0,12.0,10.0,0.0,1.0,0.0,0.0,6.0,5.2,1.8,7.0,10.0,42.0,76.0,0.82,0.16,0.99,0.82,0.99,0.49,0.15,0.64,0.43,0.58,6000000.0,10000000.0,1.0,0.0,0.0,0.0
845,1680.0,1997.0,32.0,32.0,2657.0,29.5,8.0,2.0,10.0,8.0,0.0,2.0,4.0,0.0,7.2,5.6,2.7,8.3,56.0,62.0,156.0,0.27,0.07,0.34,0.27,0.34,0.24,0.09,0.34,0.19,0.28,9000000.0,14000000.0,0.0,0.0,1.0,0.0
847,1688.0,1999.0,35.0,33.0,2638.0,29.3,6.0,6.0,12.0,5.0,1.0,1.0,5.0,0.0,8.0,7.2,6.1,13.4,60.0,80.0,216.0,0.2,0.2,0.41,0.17,0.38,0.27,0.21,0.48,0.25,0.46,28000000.0,28000000.0,0.0,0.0,1.0,0.0
848,1689.0,1999.0,2.0,0.0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.1,200000.0,200000.0,1.0,0.0,0.0,0.0
852,1693.0,1987.0,2.0,0.0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700000.0,7000000.0,0.0,0.0,1.0,0.0
853,1695.0,1994.0,31.0,27.0,2423.0,26.9,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,2.2,2.2,2.6,4.8,30.0,122.0,64.0,0.04,0.11,0.15,0.04,0.15,0.08,0.1,0.18,0.08,0.18,27000000.0,32000000.0,0.0,0.0,1.0,0.0
854,1697.0,1998.0,16.0,13.0,1205.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.5,0.5,0.5,1.0,11.0,72.0,19.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,21000000.0,25000000.0,0.0,0.0,1.0,0.0
855,1699.0,1999.0,33.0,25.0,2228.0,24.8,7.0,3.0,10.0,7.0,0.0,0.0,5.0,0.0,3.5,3.5,5.0,8.5,72.0,61.0,116.0,0.28,0.12,0.4,0.28,0.4,0.14,0.2,0.34,0.14,0.34,18000000.0,25000000.0,0.0,0.0,0.0,1.0
856,1700.0,1996.0,21.0,10.0,1126.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.3,1.3,0.5,1.8,19.0,30.0,19.0,0.08,0.0,0.08,0.08,0.08,0.1,0.04,0.14,0.1,0.14,25000000.0,35000000.0,0.0,0.0,1.0,0.0
857,1706.0,1994.0,27.0,24.0,2006.0,22.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.5,0.9,25.0,72.0,19.0,0.0,0.04,0.04,0.0,0.04,0.02,0.02,0.04,0.02,0.04,4000000.0,13000000.0,0.0,0.0,0.0,1.0
858,1708.0,1994.0,23.0,20.0,1586.0,17.6,4.0,3.0,7.0,3.0,1.0,1.0,4.0,0.0,2.8,2.0,1.4,3.4,24.0,88.0,31.0,0.23,0.17,0.4,0.17,0.34,0.16,0.08,0.24,0.11,0.19,4000000.0,7500000.0,0.0,0.0,1.0,0.0
860,1716.0,1997.0,31.0,27.0,2214.0,24.6,7.0,3.0,10.0,7.0,0.0,0.0,6.0,0.0,5.2,5.2,2.7,7.9,35.0,119.0,123.0,0.28,0.12,0.41,0.28,0.41,0.21,0.11,0.32,0.21,0.32,30000000.0,30000000.0,0.0,0.0,0.0,1.0
862,1723.0,1992.0,17.0,7.0,735.0,8.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.2,2.0,28.0,4.0,0.12,0.0,0.12,0.12,0.12,0.02,0.0,0.02,0.02,0.02,3500000.0,12000000.0,0.0,0.0,1.0,0.0
863,1737.0,1990.0,20.0,2.0,467.0,5.2,3.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,1.6,0.8,0.8,1.6,7.0,12.0,47.0,0.58,0.0,0.58,0.39,0.39,0.31,0.16,0.47,0.16,0.32,1200000.0,1250000.0,0.0,1.0,0.0,0.0
865,1739.0,2002.0,2.0,0.0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,0.0,0.63,1500000.0,2000000.0,0.0,1.0,0.0,0.0
866,1741.0,1994.0,23.0,15.0,1364.0,15.2,7.0,1.0,8.0,7.0,0.0,1.0,3.0,1.0,5.8,5.0,1.2,6.2,10.0,28.0,73.0,0.46,0.07,0.53,0.46,0.53,0.38,0.08,0.47,0.33,0.41,10000000.0,40000000.0,0.0,0.0,1.0,0.0
867,1742.0,1994.0,2.0,2.0,129.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.4,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1,0.17,0.27,0.1,0.27,10000000.0,40000000.0,0.0,0.0,1.0,0.0
869,1747.0,1994.0,24.0,21.0,1728.0,19.2,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.2,0.2,1.2,1.4,14.0,98.0,6.0,0.0,0.05,0.05,0.0,0.05,0.01,0.06,0.07,0.01,0.07,5000000.0,6000000.0,0.0,0.0,1.0,0.0
870,1749.0,2002.0,21.0,9.0,852.0,9.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.6,2.6,21.0,27.0,57.0,0.0,0.11,0.11,0.0,0.11,0.11,0.17,0.28,0.11,0.28,2500000.0,2500000.0,0.0,1.0,0.0,0.0
872,1754.0,1995.0,16.0,8.0,599.0,6.7,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,1.7,1.7,1.2,2.9,23.0,23.0,56.0,0.15,0.45,0.6,0.15,0.6,0.26,0.18,0.44,0.26,0.44,8000000.0,12500000.0,0.0,1.0,0.0,0.0
873,1757.0,1997.0,21.0,12.0,946.0,10.5,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,5.2,5.2,0.8,6.1,10.0,8.0,43.0,0.38,0.0,0.38,0.38,0.38,0.5,0.08,0.58,0.5,0.58,10000000.0,16000000.0,0.0,0.0,1.0,0.0
875,1760.0,2003.0,25.0,12.0,1129.0,12.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.4,2.4,1.2,3.6,29.0,50.0,78.0,0.0,0.16,0.16,0.0,0.16,0.19,0.1,0.29,0.19,0.29,15000000.0,15000000.0,0.0,0.0,1.0,0.0
876,1763.0,1997.0,28.0,20.0,1934.0,21.5,7.0,4.0,11.0,7.0,0.0,0.0,0.0,0.0,5.8,5.8,5.7,11.5,121.0,79.0,232.0,0.33,0.19,0.51,0.33,0.51,0.27,0.27,0.54,0.27,0.54,22000000.0,22000000.0,1.0,0.0,0.0,0.0
877,1767.0,1989.0,30.0,23.0,1926.0,21.4,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.8,2.7,2.1,4.8,45.0,127.0,72.0,0.14,0.05,0.19,0.14,0.19,0.13,0.1,0.23,0.13,0.22,6000000.0,37000000.0,0.0,0.0,1.0,0.0
878,1768.0,1988.0,18.0,7.0,802.0,8.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,4.3,4.3,1.1,5.4,3.0,7.0,35.0,0.22,0.11,0.34,0.22,0.34,0.48,0.12,0.61,0.48,0.61,1000000.0,20000000.0,0.0,0.0,1.0,0.0
880,1770.0,1999.0,12.0,11.0,968.0,10.8,5.0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,6.1,6.1,1.1,7.2,15.0,16.0,52.0,0.46,0.19,0.65,0.46,0.65,0.56,0.11,0.67,0.56,0.67,20000000.0,20000000.0,0.0,0.0,1.0,0.0
881,1771.0,1999.0,18.0,17.0,1386.0,15.4,12.0,0.0,12.0,11.0,1.0,2.0,1.0,0.0,7.3,5.7,0.5,6.2,29.0,20.0,61.0,0.78,0.0,0.78,0.71,0.71,0.47,0.03,0.5,0.37,0.4,20000000.0,20000000.0,1.0,0.0,0.0,0.0
