,Rk,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,market_value_in_eur,highest_market_value_in_eur,Pos_FW,Pos_FWMF,Pos_MF,Pos_MFFW
718,1417.0,1998.0,24.0,14.0,1246.0,13.8,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,1.2,2.0,46.0,53.0,61.0,0.0,0.14,0.14,0.0,0.14,0.06,0.09,0.15,0.06,0.15,3000000.0,3000000.0,1.0,0.0,0.0,0.0
719,1418.0,2003.0,10.0,0.0,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,3.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.28,0.03,0.32,0.28,0.32,400000.0,400000.0,0.0,0.0,1.0,0.0
720,1419.0,1994.0,29.0,24.0,2146.0,23.8,10.0,2.0,12.0,10.0,0.0,1.0,0.0,0.0,8.3,7.5,5.0,12.5,45.0,44.0,162.0,0.42,0.08,0.5,0.42,0.5,0.35,0.21,0.56,0.31,0.52,14000000.0,18000000.0,0.0,0.0,1.0,0.0
721,1420.0,1994.0,4.0,3.0,249.0,2.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.7,1.7,0.2,1.9,8.0,5.0,20.0,0.72,0.0,0.72,0.72,0.72,0.62,0.07,0.69,0.62,0.69,14000000.0,18000000.0,0.0,0.0,1.0,0.0
722,1422.0,1996.0,9.0,2.0,212.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.15,0.06,0.15,1800000.0,3000000.0,0.0,1.0,0.0,0.0
723,1425.0,1996.0,11.0,10.0,744.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.4,0.7,8.0,30.0,21.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.09,0.03,0.09,4000000.0,4000000.0,0.0,0.0,1.0,0.0
724,1426.0,1997.0,18.0,14.0,1237.0,13.7,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.2,1.2,1.5,2.7,45.0,83.0,46.0,0.07,0.0,0.07,0.07,0.07,0.09,0.11,0.2,0.09,0.2,28000000.0,30000000.0,0.0,0.0,0.0,1.0
725,1429.0,1988.0,16.0,12.0,722.0,8.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.9,0.9,1.0,1.9,10.0,33.0,43.0,0.25,0.12,0.37,0.25,0.37,0.11,0.12,0.23,0.11,0.23,1500000.0,25000000.0,0.0,0.0,1.0,0.0
727,1433.0,1997.0,16.0,13.0,1050.0,11.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.3,2.3,1.2,3.5,16.0,19.0,60.0,0.09,0.09,0.17,0.09,0.17,0.2,0.1,0.3,0.2,0.3,2400000.0,9000000.0,0.0,0.0,1.0,0.0
728,1434.0,1997.0,14.0,10.0,883.0,9.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.3,2.3,0.7,2.9,9.0,19.0,67.0,0.1,0.1,0.2,0.1,0.2,0.23,0.07,0.3,0.23,0.3,2400000.0,9000000.0,0.0,0.0,1.0,0.0
